drugbank_id	category	entrez_gene_id	source	target	edges
DB02036	target	879306	Compound::DB02036	Gene::879306	DRUGBANK::target::Compound:Gene
DB02038	target	12930426	Compound::DB02038	Gene::12930426	DRUGBANK::target::Compound:Gene
DB02038	target	946647	Compound::DB02038	Gene::946647	DRUGBANK::target::Compound:Gene
DB02038	target	1253819	Compound::DB02038	Gene::1253819	DRUGBANK::target::Compound:Gene
DB02039	target	12932037	Compound::DB02039	Gene::12932037	DRUGBANK::target::Compound:Gene
DB02039	target	946003	Compound::DB02039	Gene::946003	DRUGBANK::target::Compound:Gene
DB02039	target	10524	Compound::DB02039	Gene::10524	DRUGBANK::target::Compound:Gene
DB02042	target	1100522	Compound::DB02042	Gene::1100522	DRUGBANK::target::Compound:Gene
DB02042	target	939935	Compound::DB02042	Gene::939935	DRUGBANK::target::Compound:Gene
DB02043	target	13177589	Compound::DB02043	Gene::13177589	DRUGBANK::target::Compound:Gene
DB02044	target	4846	Compound::DB02044	Gene::4846	DRUGBANK::target::Compound:Gene
DB02044	target	4843	Compound::DB02044	Gene::4843	DRUGBANK::target::Compound:Gene
DB02044	target	4842	Compound::DB02044	Gene::4842	DRUGBANK::target::Compound:Gene
DB02045	target	5644	Compound::DB02045	Gene::5644	DRUGBANK::target::Compound:Gene
DB02046	target	10863	Compound::DB02046	Gene::10863	DRUGBANK::target::Compound:Gene
DB02047	target	5742	Compound::DB02047	Gene::5742	DRUGBANK::target::Compound:Gene
DB02048	target	4846	Compound::DB02048	Gene::4846	DRUGBANK::target::Compound:Gene
DB02049	target	4322	Compound::DB02049	Gene::4322	DRUGBANK::target::Compound:Gene
DB02052	target	196	Compound::DB02052	Gene::196	DRUGBANK::target::Compound:Gene
DB02052	target	2932	Compound::DB02052	Gene::2932	DRUGBANK::target::Compound:Gene
DB02052	target	1017	Compound::DB02052	Gene::1017	DRUGBANK::target::Compound:Gene
DB02052	target	1020	Compound::DB02052	Gene::1020	DRUGBANK::target::Compound:Gene
DB02052	target	983	Compound::DB02052	Gene::983	DRUGBANK::target::Compound:Gene
DB02052	target	8851	Compound::DB02052	Gene::8851	DRUGBANK::target::Compound:Gene
DB02053	target	1192509	Compound::DB02053	Gene::1192509	DRUGBANK::target::Compound:Gene
DB02053	target	3168636	Compound::DB02053	Gene::3168636	DRUGBANK::target::Compound:Gene
DB02053	target	3169402	Compound::DB02053	Gene::3169402	DRUGBANK::target::Compound:Gene
DB02054	target	4942	Compound::DB02054	Gene::4942	DRUGBANK::target::Compound:Gene
DB02056	transporter	6578	Compound::DB02056	Gene::6578	DRUGBANK::transporter::Compound:Gene
DB02056	target	8644	Compound::DB02056	Gene::8644	DRUGBANK::target::Compound:Gene
DB02056	target	11251	Compound::DB02056	Gene::11251	DRUGBANK::target::Compound:Gene
DB02057	target	2891	Compound::DB02057	Gene::2891	DRUGBANK::target::Compound:Gene
DB02058	target	2263	Compound::DB02058	Gene::2263	DRUGBANK::target::Compound:Gene
DB02058	target	2260	Compound::DB02058	Gene::2260	DRUGBANK::target::Compound:Gene
DB02059	target	2597	Compound::DB02059	Gene::2597	DRUGBANK::target::Compound:Gene
DB02059	target	12930229	Compound::DB02059	Gene::12930229	DRUGBANK::target::Compound:Gene
DB02059	target	947273	Compound::DB02059	Gene::947273	DRUGBANK::target::Compound:Gene
DB02059	target	1026699	Compound::DB02059	Gene::1026699	DRUGBANK::target::Compound:Gene
DB02059	target	1080971	Compound::DB02059	Gene::1080971	DRUGBANK::target::Compound:Gene
DB02059	target	3169402	Compound::DB02059	Gene::3169402	DRUGBANK::target::Compound:Gene
